symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl,best_trade,worst_trade
SOL/USDT:USDT,15m,"RSI,RSX,WT,SWEEP",10,2,8,20.0,-6.18,-0.6177,0.72,-1.0
SOL/USDT:USDT,15m,"RSI,RSX,WT,BOS,SWEEP",10,2,8,20.0,-6.18,-0.6177,0.72,-1.0
SOL/USDT:USDT,4h,"RSX,WT,EMA,BOS,SWEEP",14,4,10,28.57,-6.2,-0.4426,1.53,-1.0
SOL/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS,SWEEP",16,5,11,31.25,-6.34,-0.3961,1.53,-1.0
SOL/USDT:USDT,5m,"RSX,WT,EMA,BOS",17,3,14,17.65,-6.42,-0.3775,1.4,-1.0
SOL/USDT:USDT,1h,"RSI,WT,EMA,SWEEP",25,8,17,32.0,-6.87,-0.275,3.0,-1.0
SOL/USDT:USDT,4h,"RSX,WT,EMA,SWEEP",7,0,7,0.0,-7.0,-1.0,-1.0,-1.0
SOL/USDT:USDT,4h,"RSI,RSX,WT,EMA,SWEEP",9,1,8,11.11,-7.14,-0.7934,0.86,-1.0
SOL/USDT:USDT,1h,"WT,EMA,SWEEP",24,7,17,29.17,-7.21,-0.3004,3.0,-1.0
ETH/USDT:USDT,5m,"WT,EMA,BOS",16,2,14,12.5,-7.4,-0.4623,0.5,-1.0
ETH/USDT:USDT,5m,"RSI,WT,EMA,BOS",16,2,14,12.5,-7.4,-0.4623,0.5,-1.0
SOL/USDT:USDT,5m,"RSI,RSX,WT,EMA,BOS",18,3,15,16.67,-7.42,-0.4121,1.4,-1.0
ETH/USDT:USDT,5m,"RSI,RSX,WT,EMA,BOS,SWEEP",49,17,32,34.69,-7.84,-0.1599,1.92,-1.0
ETH/USDT:USDT,5m,"RSX,WT,EMA,BOS",17,2,15,11.76,-8.4,-0.494,0.5,-1.0
ETH/USDT:USDT,5m,"RSI,RSX,WT,EMA,BOS",17,2,15,11.76,-8.4,-0.494,0.5,-1.0
