symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl,best_trade,worst_trade
DOGE/USDT:USDT,15m,"RSX,WT,SWEEP",1,1,0,100.0,1.44,1.4371,1.44,1.44
DOGE/USDT:USDT,15m,"RSX,WT,BOS,SWEEP",1,1,0,100.0,1.44,1.4371,1.44,1.44
SOL/USDT:USDT,5m,"RSX,WT,EMA,SWEEP",22,11,11,50.0,1.42,0.0646,1.42,-1.0
ETH/USDT:USDT,1h,"RSX,EMA,SWEEP",4,2,2,50.0,1.36,0.3407,3.0,-1.0
ETH/USDT:USDT,1h,"RSI,RSX,EMA,SWEEP",4,2,2,50.0,1.36,0.3407,3.0,-1.0
ETH/USDT:USDT,1h,"RSX,EMA,BOS,SWEEP",4,2,2,50.0,1.36,0.3407,3.0,-1.0
ETH/USDT:USDT,1h,"RSI,RSX,EMA,BOS,SWEEP",4,2,2,50.0,1.36,0.3407,3.0,-1.0
BTC/USDT:USDT,15m,"RSI,RSX,WT,EMA,SWEEP",38,22,16,57.89,1.35,0.0356,1.42,-1.0
DOGE/USDT:USDT,1h,"RSI,WT,SWEEP",1,1,0,100.0,1.34,1.3414,1.34,1.34
DOGE/USDT:USDT,1h,"RSX,WT,SWEEP",1,1,0,100.0,1.34,1.3414,1.34,1.34
DOGE/USDT:USDT,1h,"RSI,WT,BOS,SWEEP",1,1,0,100.0,1.34,1.3414,1.34,1.34
DOGE/USDT:USDT,1h,"RSX,WT,BOS,SWEEP",1,1,0,100.0,1.34,1.3414,1.34,1.34
ETH/USDT:USDT,15m,"RSI,RSX,WT,EMA,BOS,SWEEP",36,18,18,50.0,1.28,0.0354,2.16,-1.0
DOGE/USDT:USDT,15m,"RSI,WT,EMA,SWEEP",22,11,11,50.0,1.2,0.0547,3.0,-1.0
ETH/USDT:USDT,5m,"RSX,WT,SWEEP",2,2,0,100.0,1.08,0.5378,0.63,0.44
ETH/USDT:USDT,5m,"RSX,WT,BOS,SWEEP",2,2,0,100.0,1.08,0.5378,0.63,0.44
DOGE/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",28,15,13,53.57,1.08,0.0387,3.0,-1.0
DOGE/USDT:USDT,15m,"RSI,EMA,SWEEP",1,1,0,100.0,1.06,1.0574,1.06,1.06
DOGE/USDT:USDT,15m,"RSI,EMA,BOS,SWEEP",1,1,0,100.0,1.06,1.0574,1.06,1.06
BTC/USDT:USDT,1h,"RSX,WT,SWEEP",1,1,0,100.0,0.98,0.9756,0.98,0.98
BTC/USDT:USDT,1h,"RSX,WT,BOS,SWEEP",1,1,0,100.0,0.98,0.9756,0.98,0.98
DOGE/USDT:USDT,5m,"RSI,RSX,WT,SWEEP",5,4,1,80.0,0.98,0.1967,0.53,-0.62
DOGE/USDT:USDT,5m,"RSI,RSX,WT,BOS,SWEEP",5,4,1,80.0,0.98,0.1967,0.53,-0.62
BTC/USDT:USDT,1h,"RSX,WT,EMA,BOS",20,14,6,70.0,0.93,0.0465,0.92,-1.0
SOL/USDT:USDT,15m,"RSI,RSX,WT,EMA",2,2,0,100.0,0.91,0.4558,0.48,0.43
DOGE/USDT:USDT,15m,"RSI,RSX,WT,SWEEP",3,2,1,66.67,0.88,0.293,1.44,-1.0
DOGE/USDT:USDT,15m,"RSI,RSX,WT,BOS,SWEEP",3,2,1,66.67,0.88,0.293,1.44,-1.0
SOL/USDT:USDT,4h,"WT,EMA,BOS",7,4,3,57.14,0.8,0.1148,1.53,-1.0
SOL/USDT:USDT,4h,"RSI,WT,EMA,BOS",7,4,3,57.14,0.8,0.1148,1.53,-1.0
SOL/USDT:USDT,4h,"RSX,WT,EMA,BOS",7,4,3,57.14,0.8,0.1148,1.53,-1.0
