symbol,timeframe,strategy,trades,wins,losses,winrate,total_pnl,avg_pnl
ETH/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS,SWEEP",26,9,17,34.62,-10.24,-0.39
DOGE/USDT:USDT,15m,"RSI,RSX,WT,EMA,SWEEP",28,8,20,28.57,-10.37,-0.37
DOGE/USDT:USDT,15m,"RSX,WT,EMA,BOS,SWEEP",36,11,25,30.56,-10.41,-0.29
DOGE/USDT:USDT,15m,"RSI,WT,EMA,BOS,SWEEP",33,9,24,27.27,-10.42,-0.32
DOGE/USDT:USDT,15m,"WT,EMA,BOS,SWEEP",32,8,24,25.0,-10.6,-0.33
DOGE/USDT:USDT,15m,"RSI,RSX,WT,EMA,BOS,SWEEP",39,12,27,30.77,-10.81,-0.28
ETH/USDT:USDT,1h,"RSX,WT,EMA,BOS",16,4,12,25.0,-12.36,-0.77
SOL/USDT:USDT,4h,"RSX,WT,EMA,BOS,SWEEP",21,7,14,33.33,-15.1,-0.72
ETH/USDT:USDT,1h,"WT,EMA,BOS",13,2,11,15.38,-15.6,-1.2
ETH/USDT:USDT,1h,"RSI,WT,EMA,BOS",13,2,11,15.38,-15.6,-1.2
SOL/USDT:USDT,4h,"RSI,RSX,WT,BOS,SWEEP",4,0,4,0.0,-15.79,-3.95
SOL/USDT:USDT,4h,"RSI,RSX,WT,SWEEP",4,0,4,0.0,-15.79,-3.95
SOL/USDT:USDT,4h,"RSI,RSX,WT,EMA,SWEEP",16,4,12,25.0,-16.74,-1.05
ETH/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS",11,2,9,18.18,-17.41,-1.58
ETH/USDT:USDT,4h,"RSX,WT,EMA,BOS",11,2,9,18.18,-17.41,-1.58
DOGE/USDT:USDT,4h,"RSI,WT,EMA,BOS",16,7,9,43.75,-20.25,-1.27
DOGE/USDT:USDT,4h,"WT,EMA,BOS",16,7,9,43.75,-20.25,-1.27
ETH/USDT:USDT,4h,"WT,EMA,BOS",10,1,9,10.0,-20.5,-2.05
ETH/USDT:USDT,4h,"RSI,WT,EMA,BOS",10,1,9,10.0,-20.5,-2.05
DOGE/USDT:USDT,4h,"RSX,WT,EMA,BOS",17,7,10,41.18,-21.25,-1.25
DOGE/USDT:USDT,4h,"RSI,WT,EMA,BOS,SWEEP",22,11,11,50.0,-21.78,-0.99
SOL/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS,SWEEP",23,7,16,30.43,-21.85,-0.95
DOGE/USDT:USDT,4h,"WT,EMA,BOS,SWEEP",21,10,11,47.62,-21.98,-1.05
DOGE/USDT:USDT,4h,"RSX,WT,EMA,BOS,SWEEP",23,11,12,47.83,-22.78,-0.99
DOGE/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS",18,7,11,38.89,-26.89,-1.49
DOGE/USDT:USDT,4h,"RSI,RSX,WT,EMA,BOS,SWEEP",26,11,15,42.31,-29.93,-1.15
